scenario,family,model,flip_rate,proximity,plausibility,sparsity
fl_ldp_eps3_eg_tpr,lr,eg_tpr_lr,0.64,0.18724966261808365,0.94,0.8025
fl_ldp_eps3_eg_tpr,rf,eg_tpr_rf,1.0,0.06626585695006748,0.94,0.8175
fl_ldp_eps3_eg_tpr,xgb,eg_tpr_xgb,1.0,0.041742240215924424,0.96,0.85
fl_ldp_eps3_gs_dp,lr,gs_dp_lr,1.0,0.188689158794422,0.94,0.8025
fl_ldp_eps3_gs_dp,rf,gs_dp_rf,1.0,0.06409311740890687,0.94,0.8325
fl_ldp_eps3_gs_dp,xgb,gs_dp_xgb,1.0,0.041215924426450744,0.96,0.855
fl_ldp_eps3_gs_eo,lr,gs_eo_lr,1.0,0.21259694107062527,0.98,0.8075
fl_ldp_eps3_gs_eo,rf,gs_eo_rf,1.0,0.07523346828609986,0.9,0.8125
fl_ldp_eps3_gs_eo,xgb,gs_eo_xgb,1.0,0.044805668016194324,0.96,0.8575
fl_ldp_eps3_to_dp,lr,to_dp_lr,0.74,0.21259694107062527,0.98,0.8075
fl_ldp_eps3_to_dp,rf,to_dp_rf,0.66,0.07523346828609986,0.9,0.8125
fl_ldp_eps3_to_dp,xgb,to_dp_xgb,0.86,0.044805668016194324,0.96,0.8575
fl_ldp_eps3_to_eo,lr,to_eo_lr,0.64,0.21259694107062527,0.98,0.8075
fl_ldp_eps3_to_eo,rf,to_eo_rf,0.66,0.07523346828609986,0.9,0.8125
fl_ldp_eps3_to_eo,xgb,to_eo_xgb,0.88,0.044805668016194324,0.96,0.8575
ldp_baseline_eps5,logistic_regression,ldp_baseline_eps5_logistic_regression,1.0,0.2142163742690058,1.0,0.8
ldp_baseline_eps5,random_forest,ldp_baseline_eps5_random_forest,1.0,0.0708974358974359,0.94,0.815
ldp_baseline_eps5,xgboost,ldp_baseline_eps5_xgboost,1.0,0.04755420602789023,0.96,0.855
ldp_SCM_eps5,logistic_regression,ldp_SCM_eps5_logistic_regression,1.0,0.20210796221322536,0.94,0.79
ldp_SCM_eps5,random_forest,ldp_SCM_eps5_random_forest,1.0,0.1015195681511471,0.9,0.8075
ldp_SCM_eps5,xgboost,ldp_SCM_eps5_xgboost,1.0,0.04499460188933873,0.96,0.86
ldp_update_labels_eps5,logistic_regression,ldp_update_labels_eps5_logistic_regression,1.0,0.19958614484930276,0.94,0.795
ldp_update_labels_eps5,random_forest,ldp_update_labels_eps5_random_forest,1.0,0.07235492577597841,0.9,0.82
ldp_update_labels_eps5,xgboost,ldp_update_labels_eps5_xgboost,1.0,0.0458582995951417,0.96,0.855
ldp_add_comparators_eps5,logistic_regression,ldp_add_comparators_eps5_logistic_regression,1.0,0.20336302294197028,0.94,0.7975
ldp_add_comparators_eps5,random_forest,ldp_add_comparators_eps5_random_forest,1.0,0.08706612685560053,0.9,0.8
ldp_add_comparators_eps5,xgboost,ldp_add_comparators_eps5_xgboost,1.0,0.04681646423751686,0.96,0.8525
ldp_add_comparators_bidir_eps5,logistic_regression,ldp_add_comparators_bidir_eps5_logistic_regression,1.0,0.21303913630229418,1.0,0.8
ldp_add_comparators_bidir_eps5,random_forest,ldp_add_comparators_bidir_eps5_random_forest,1.0,0.09301304543409807,0.86,0.805
ldp_add_comparators_bidir_eps5,xgboost,ldp_add_comparators_bidir_eps5_xgboost,1.0,0.047521367521367514,0.96,0.8525
fl_ldp_eps5_baseline,lr,baseline_lr,1.0,0.2142163742690058,1.0,0.8
fl_ldp_eps5_baseline,rf,baseline_rf,1.0,0.0708974358974359,0.94,0.815
fl_ldp_eps5_baseline,xgb,baseline_xgb,1.0,0.04755420602789023,0.96,0.855
fl_ldp_eps5_eg_dp,lr,eg_dp_lr,0.54,0.1889455690508322,0.94,0.805
fl_ldp_eps5_eg_dp,rf,eg_dp_rf,1.0,0.06080026990553306,0.94,0.83
fl_ldp_eps5_eg_dp,xgb,eg_dp_xgb,0.96,0.041742240215924424,0.96,0.855
fl_ldp_eps5_eg_eo,lr,eg_eo_lr,0.64,0.18194017094017095,0.94,0.8075
fl_ldp_eps5_eg_eo,rf,eg_eo_rf,0.98,0.06213630229419702,0.92,0.8325
fl_ldp_eps5_eg_eo,xgb,eg_eo_xgb,0.94,0.041886189833558254,0.96,0.8525
fl_ldp_eps5_eg_tpr,lr,eg_tpr_lr,0.9,0.18795906432748538,0.94,0.805
fl_ldp_eps5_eg_tpr,rf,eg_tpr_rf,0.98,0.06241970310391363,0.92,0.83
fl_ldp_eps5_eg_tpr,xgb,eg_tpr_xgb,1.0,0.041742240215924424,0.96,0.855
fl_ldp_eps5_gs_dp,lr,gs_dp_lr,1.0,0.18598425551057132,0.92,0.81
fl_ldp_eps5_gs_dp,rf,gs_dp_rf,1.0,0.06490283400809715,0.92,0.835
fl_ldp_eps5_gs_dp,xgb,gs_dp_xgb,1.0,0.04153981106612685,0.96,0.855
fl_ldp_eps5_gs_eo,lr,gs_eo_lr,1.0,0.2142163742690058,1.0,0.8
fl_ldp_eps5_gs_eo,rf,gs_eo_rf,1.0,0.0708974358974359,0.94,0.815
fl_ldp_eps5_gs_eo,xgb,gs_eo_xgb,1.0,0.04755420602789023,0.96,0.855
fl_ldp_eps5_to_dp,lr,to_dp_lr,0.7,0.2142163742690058,1.0,0.8
fl_ldp_eps5_to_dp,rf,to_dp_rf,0.72,0.0708974358974359,0.94,0.815
fl_ldp_eps5_to_dp,xgb,to_dp_xgb,0.86,0.04755420602789023,0.96,0.855
fl_ldp_eps5_to_eo,lr,to_eo_lr,0.68,0.2142163742690058,1.0,0.8
fl_ldp_eps5_to_eo,rf,to_eo_rf,0.76,0.0708974358974359,0.94,0.815
fl_ldp_eps5_to_eo,xgb,to_eo_xgb,0.88,0.04755420602789023,0.96,0.855
ldp_baseline_eps10,logistic_regression,ldp_baseline_eps10_logistic_regression,1.0,0.21447278452541607,1.0,0.8
ldp_baseline_eps10,random_forest,ldp_baseline_eps10_random_forest,1.0,0.07226045883940621,0.92,0.8175
ldp_baseline_eps10,xgboost,ldp_baseline_eps10_xgboost,1.0,0.04782411156095367,0.96,0.8525
ldp_SCM_eps10,logistic_regression,ldp_SCM_eps10_logistic_regression,1.0,0.20210796221322536,0.94,0.79
ldp_SCM_eps10,random_forest,ldp_SCM_eps10_random_forest,1.0,0.09891048133153396,0.88,0.8075
ldp_SCM_eps10,xgboost,ldp_SCM_eps10_xgboost,1.0,0.04763967611336031,0.96,0.845
ldp_update_labels_eps10,logistic_regression,ldp_update_labels_eps10_logistic_regression,1.0,0.201889338731444,0.94,0.7975
ldp_update_labels_eps10,random_forest,ldp_update_labels_eps10_random_forest,1.0,0.07389338731443995,0.9,0.815
ldp_update_labels_eps10,xgboost,ldp_update_labels_eps10_xgboost,1.0,0.0494885290148448,0.96,0.8475
ldp_add_comparators_eps10,logistic_regression,ldp_add_comparators_eps10_logistic_regression,1.0,0.2033495276653171,0.94,0.795
ldp_add_comparators_eps10,random_forest,ldp_add_comparators_eps10_random_forest,1.0,0.09011605937921727,0.9,0.81
ldp_add_comparators_eps10,xgboost,ldp_add_comparators_eps10_xgboost,1.0,0.04680296896086369,0.96,0.855
ldp_add_comparators_bidir_eps10,logistic_regression,ldp_add_comparators_bidir_eps10_logistic_regression,1.0,0.21303913630229418,1.0,0.8
ldp_add_comparators_bidir_eps10,random_forest,ldp_add_comparators_bidir_eps10_random_forest,1.0,0.08886099865047234,0.9,0.8025
ldp_add_comparators_bidir_eps10,xgboost,ldp_add_comparators_bidir_eps10_xgboost,1.0,0.046212325686009886,0.96,0.8575
fl_ldp_eps10_baseline,lr,baseline_lr,1.0,0.21447278452541607,1.0,0.8
fl_ldp_eps10_baseline,rf,baseline_rf,1.0,0.07226045883940621,0.92,0.8175
fl_ldp_eps10_baseline,xgb,baseline_xgb,1.0,0.04782411156095367,0.96,0.8525
fl_ldp_eps10_eg_dp,lr,eg_dp_lr,1.0,0.18921547458389565,0.94,0.805
fl_ldp_eps10_eg_dp,rf,eg_dp_rf,0.96,0.06235222672064777,0.94,0.8275
fl_ldp_eps10_eg_dp,xgb,eg_dp_xgb,0.98,0.04098650472334683,0.96,0.855
fl_ldp_eps10_eg_eo,lr,eg_eo_lr,0.64,0.16330634278002698,0.9,0.825
fl_ldp_eps10_eg_eo,rf,eg_eo_rf,0.96,0.061879892037786766,0.94,0.8325
fl_ldp_eps10_eg_eo,xgb,eg_eo_xgb,0.92,0.0430242914979757,0.96,0.8525
fl_ldp_eps10_eg_tpr,lr,eg_tpr_lr,0.7,0.1818740440845704,0.9,0.8075
fl_ldp_eps10_eg_tpr,rf,eg_tpr_rf,1.0,0.06340485829959513,0.94,0.8275
fl_ldp_eps10_eg_tpr,xgb,eg_tpr_xgb,0.98,0.04474718848403058,0.96,0.85
fl_ldp_eps10_gs_dp,lr,gs_dp_lr,1.0,0.18598425551057132,0.92,0.81
fl_ldp_eps10_gs_dp,rf,gs_dp_rf,1.0,0.06646828609986505,0.94,0.8325
fl_ldp_eps10_gs_dp,xgb,gs_dp_xgb,1.0,0.04252496626180836,0.96,0.8575
fl_ldp_eps10_gs_eo,lr,gs_eo_lr,1.0,0.21447278452541607,1.0,0.8
fl_ldp_eps10_gs_eo,rf,gs_eo_rf,1.0,0.07226045883940621,0.92,0.8175
fl_ldp_eps10_gs_eo,xgb,gs_eo_xgb,1.0,0.04782411156095367,0.96,0.8525
fl_ldp_eps10_to_dp,lr,to_dp_lr,0.7,0.21447278452541607,1.0,0.8
fl_ldp_eps10_to_dp,rf,to_dp_rf,0.66,0.07226045883940621,0.92,0.8175
fl_ldp_eps10_to_dp,xgb,to_dp_xgb,0.82,0.04782411156095367,0.96,0.8525
fl_ldp_eps10_to_eo,lr,to_eo_lr,0.6,0.21447278452541607,1.0,0.8
fl_ldp_eps10_to_eo,rf,to_eo_rf,0.76,0.07226045883940621,0.92,0.8175
fl_ldp_eps10_to_eo,xgb,to_eo_xgb,0.92,0.04782411156095367,0.96,0.8525
